Action,Details
Loaded,"5 rows, 39 columns"
Standardized column names,39 columns renamed
No missing values,Dataset is complete
No duplicates,Dataset is clean
Invalid binary values,hepatic_fat_accumulation: [0 1 2]
Capped outliers,weight: 1 values (20.00%)
Capped outliers,extracellular_water: 2 values (40.00%)
Capped outliers,body_protein_content: 1 values (20.00%)
Capped outliers,glucose: 1 values (20.00%)
Capped outliers,high_density_lipoprotein: 2 values (40.00%)
Capped outliers,triglyceride: 1 values (20.00%)
Capped outliers,aspartat_aminotransferaz: 2 values (40.00%)
Capped outliers,alanin_aminotransferaz: 1 values (20.00%)
Capped outliers,glomerular_filtration_rate: 1 values (20.00%)
Saved,"5 rows, 39 columns to gallstone_cleaned.csv"
