,count,mean,std,min,25%,50%,75%,max
Gallstone Status,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Age,5.0,48.2,8.043631020876083,41.0,42.0,47.0,50.0,61.0
Gender,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Comorbidity,5.0,0.2,0.44721359549995804,0.0,0.0,0.0,0.0,1.0
Coronary Artery Disease (CAD),5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hypothyroidism,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hyperlipidemia,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diabetes Mellitus (DM),5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Height,5.0,175.6,6.58027355054484,168.0,171.0,176.0,178.0,185.0
Weight,5.0,87.13999999999999,11.021025360645893,67.7,89.6,91.1,92.8,94.5
Body Mass Index (BMI),5.0,28.22,2.8787149911028007,24.0,27.1,28.3,30.5,31.2
Total Body Water (TBW),5.0,47.2,5.014479035752368,41.4,43.1,47.2,51.4,52.9
Extracellular Water (ECW),5.0,19.560000000000002,1.559807680452946,17.0,19.5,20.0,20.1,21.2
Intracellular Water (ICW),5.0,27.640000000000004,3.799078835717942,23.6,24.4,27.1,31.4,31.7
Extracellular Fluid/Total Body Water (ECF/TBW),5.0,41.6,2.4083189157584592,39.0,40.0,41.0,43.0,45.0
Total Body Fat Ratio (TBFR) (%),5.0,23.02,6.888541209864393,15.8,19.2,20.0,27.3,32.8
Lean Mass (LM) (%),5.0,76.98400000000001,6.898364298875493,67.2,72.67,80.02,80.84,84.19
Body Protein Content (Protein) (%),5.0,17.124000000000002,1.0035586679412414,16.35,16.68,16.81,16.9,18.88
Visceral Fat Rating (VFR),5.0,10.6,4.159326868617084,6.0,8.0,9.0,15.0,15.0
Bone Mass (BM),5.0,3.3200000000000003,0.30331501776206204,2.9,3.2,3.3,3.5,3.7
Muscle Mass (MM),5.0,63.379999999999995,6.771041278858077,54.1,60.3,62.9,68.2,71.4
Obesity (%),5.0,28.3,13.099618315050252,9.0,23.4,28.6,38.8,41.7
Total Fat Content (TFC),5.0,20.459999999999997,7.740994768116046,10.7,17.8,17.9,24.9,31.0
Visceral Fat Area (VFA),5.0,12.42,4.808534080153742,6.5,10.4,10.6,16.2,18.4
Visceral Muscle Area (VMA) (Kg),5.0,34.6,4.092065493122026,29.2,32.7,34.0,37.4,39.7
Hepatic Fat Accumulation (HFA),5.0,0.6,0.8944271909999159,0.0,0.0,0.0,1.0,2.0
Glucose,5.0,95.4,15.69394787808345,69.0,94.0,102.0,103.0,109.0
Total Cholesterol (TC),5.0,195.8,33.13155595501062,172.0,173.0,179.0,205.0,250.0
Low Density Lipoprotein (LDL),5.0,126.8,39.745439990016465,73.0,108.0,124.0,154.0,175.0
High Density Lipoprotein (HDL),5.0,43.0,10.41633332799983,30.0,40.0,43.0,43.0,59.0
Triglyceride,5.0,137.0,110.18847489642462,53.0,69.0,103.0,134.0,326.0
Aspartat Aminotransferaz (AST),5.0,19.8,4.711687595755898,14.0,18.0,20.0,20.0,27.0
Alanin Aminotransferaz (ALT),5.0,23.0,17.776388834631177,12.0,13.0,14.0,22.0,54.0
Alkaline Phosphatase (ALP),5.0,60.8,20.945166506857852,34.0,46.0,66.0,71.0,87.0
Creatinine,5.0,0.9560000000000001,0.18365728953678917,0.82,0.82,0.87,1.02,1.25
Glomerular Filtration Rate (GFR),5.0,98.33,19.823202314459685,65.51,94.1,107.1,112.47,112.47
C-Reactive Protein (CRP),5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hemoglobin (HGB),5.0,15.76,0.909945053286186,14.4,15.4,16.0,16.2,16.8
Vitamin D,5.0,32.839999999999996,5.814464721709128,25.0,30.2,33.0,35.4,40.6
