Action,Details
Loaded,"345 rows, 7 columns"
No missing values,Dataset is complete
Removed duplicates,4 rows (1.16%)
Outliers detected,mcv: 9 values (2.64%) - kept as valid
Outliers detected,alkphos: 9 values (2.64%) - kept as valid
Outliers detected,sgpt: 28 values (8.21%) - kept as valid
Outliers detected,sgot: 24 values (7.04%) - kept as valid
Outliers detected,gammagt: 27 values (7.92%) - kept as valid
Outliers detected,drinks: 9 values (2.64%) - kept as valid
Saved outlier analysis,6 features with outliers
Created feature,ast_alt_ratio (AST/ALT ratio)
Created feature,alcohol_category (5 levels)
Created feature,total_enzyme_score (normalized enzyme sum)
Negative values found,total_enzyme_score: 215 values
Saved,"341 rows, 10 columns to liver_cleaned.csv"
