Feature_Name,Feature_Number
sgpt_sgot_ratio,1
sgot_sgpt_ratio,2
gammagt_sgpt_ratio,3
gammagt_sgot_ratio,4
sgpt_sgot_sum,5
sgpt_sgot_product,6
all_enzymes_sum,7
all_enzymes_mean,8
sgpt_dominant,9
sgot_dominant,10
gammagt_dominant,11
sgpt_elevated,12
sgot_elevated,13
gammagt_elevated,14
elevated_enzyme_count,15
alkphos_sgpt_ratio,16
alkphos_sgot_ratio,17
alkphos_gammagt_ratio,18
alkphos_elevated,19
alkphos_low,20
alkphos_mcv_ratio,21
alkphos_mcv_product,22
mcv_low,23
mcv_normal,24
mcv_high,25
mcv_deviation,26
mcv_normalized,27
mcv_drinks_interaction,28
alcohol_category_encoded,29
mcv_alcohol_category_encoded,30
drinks_squared,31
drinks_log,32
drinks_sqrt,33
alcohol_level,34
drinks_sgpt_interaction,35
drinks_sgot_interaction,36
drinks_gammagt_interaction,37
drinks_ast_alt_ratio_interaction,38
heavy_drinker,39
alcohol_enzyme_risk,40
liver_damage_score,41
alcoholic_liver_risk,42
hepatocellular_score,43
cholestatic_score,44
liver_health_score,45
mcv_zscore,46
alkphos_zscore,47
sgpt_zscore,48
sgot_zscore,49
gammagt_zscore,50
drinks_zscore,51
mcv_robust,52
alkphos_robust,53
sgpt_robust,54
sgot_robust,55
gammagt_robust,56
drinks_robust,57
mcv_outlier,58
alkphos_outlier,59
sgpt_outlier,60
sgot_outlier,61
gammagt_outlier,62
drinks_outlier,63
total_outliers,64
sgpt_squared,65
sgot_squared,66
gammagt_squared,67
alkphos_squared,68
drinks_squared,69
gammagt_cubed,70
drinks_cubed,71
sgpt_bin,72
sgpt_bin_encoded,73
sgot_bin,74
sgot_bin_encoded,75
gammagt_bin,76
gammagt_bin_encoded,77
drinks_bin,78
drinks_bin_encoded,79
mcv_alkphos_sgpt,80
sgpt_sgot_gammagt,81
drinks_mcv_gammagt,82
ast_alt_drinks,83
enzyme_score_drinks,84
abnormality_count,85
abnormality_ratio,86
enzyme_mean,87
enzyme_std,88
enzyme_cv,89
enzyme_range,90
enzyme_max,91
enzyme_min,92
