,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis
age,7129.0,0.5213467106186,0.18941863714787094,0.01,0.37,0.55,0.68,0.97,-0.218619237406171,-0.8725798367044226
sex,7129.0,0.3067751437789311,0.4611875865381882,0.0,0.0,0.0,1.0,1.0,0.8381798868760811,-1.297818651534686
on_thyroxine,7129.0,0.13185580025248983,0.3383576619113427,0.0,0.0,0.0,0.0,1.0,2.176676049780216,2.738686869870852
query_on_thyroxine,7129.0,0.015570206200028055,0.12381407529094209,0.0,0.0,0.0,0.0,1.0,7.827312602305124,59.28345412866618
on_antithyroid_medication,7129.0,0.01276476364146444,0.11226572221014365,0.0,0.0,0.0,0.0,1.0,8.682471482287584,73.40590456770396
sick,7129.0,0.038715107308177864,0.1929286627459554,0.0,0.0,0.0,0.0,1.0,4.783263754251111,20.88547136326873
pregnant,7129.0,0.010941225978398092,0.104033810477453,0.0,0.0,0.0,0.0,1.0,9.404558247141457,86.46997440073721
thyroid_surgery,7129.0,0.014167484920746248,0.11818936802770123,0.0,0.0,0.0,0.0,1.0,8.223562896706298,65.6454030788503
I131_treatment,7129.0,0.01697292747930986,0.1291788990487849,0.0,0.0,0.0,0.0,1.0,7.480519257811498,53.973310190511995
query_hypothyroid,7129.0,0.06620844438210127,0.24866354738805999,0.0,0.0,0.0,0.0,1.0,3.4899629805496866,10.182698224499566
query_hyperthyroid,7129.0,0.06901388694066489,0.25349553099558825,0.0,0.0,0.0,0.0,1.0,3.401299075963007,9.571520560649471
lithium,7129.0,0.01276476364146444,0.11226572221014366,0.0,0.0,0.0,0.0,1.0,8.682471482287584,73.40590456770394
goitre,7129.0,0.008276055547762659,0.09060195310312118,0.0,0.0,0.0,0.0,1.0,10.85764526361869,115.92098155865467
tumor,7129.0,0.025810071538785243,0.15857944138746635,0.0,0.0,0.0,0.0,1.0,5.982149929441581,33.79559886110866
hypopituitary,7129.0,0.00014027212792818068,0.011843653487339987,0.0,0.0,0.0,0.0,1.0,84.43340571124683,7129.000000000001
psych,7129.0,0.0493757890307196,0.21666657674861725,0.0,0.0,0.0,0.0,1.0,4.160777109637529,15.316362995195533
TSH,7129.0,0.0020258479450133257,0.0017229864180699716,0.0,0.0007,0.0017,0.0027,0.0057,0.9538269958036094,-0.08341694305510483
T3,7129.0,0.019586281385888617,0.005005637651087718,0.0095,0.017,0.0201,0.022,0.0294999999999999,-0.11250763960734417,-0.07308776173790088
TT4,7129.0,0.10837866460934212,0.030735663329768223,0.0349999999999999,0.089,0.106,0.125,0.179,0.27125291963921905,0.12857499421238971
T4U,7129.0,0.09681280684527985,0.015360318539177622,0.0614999999999999,0.087,0.096,0.104,0.1295,0.12740285445239877,-0.04520739691092768
FTI,7129.0,0.11193397390938421,0.02819341818334043,0.0445,0.094,0.111,0.127,0.1765,0.2378417243376249,0.21278192753794567
